id,text,label_level1,label_level2,label_level3,text_length,intent_complexity,sample_type,keywords,confidence_score
1914,额度查询需要什么条件,信贷服务,额度管理,额度查询,短文本,简单,short,"额度查询, 额度, 查询, 条件",0.98
1986,产品说明书需要什么条件,风险合规,信息披露,产品说明书,短文本,简单,short,"产品说明书, 条件",0.83
1182,请问净值型理财怎么操作,投资理财,理财产品,净值型理财,短文本,简单,short,"净值型理财, 理财",0.99
1501,我对支付密码很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,账户服务,密码管理,支付密码,中等文本,简单,medium,"支付密码, 密码, 办理, 流程",0.8
1710,美股交易需要什么条件,投资理财,股票投资,美股交易,短文本,简单,short,"美股交易, 条件",0.85
1966,怎么交水电费,交易服务,支付缴费,水电煤缴费,短文本,简单,short,水电煤缴费,0.93
1955,交易权限的具体流程是什么,账户服务,权限设置,交易权限,短文本,简单,short,"交易权限, 流程",0.96
1653,交易明细的具体流程是什么,交易服务,交易查询,交易明细,短文本,简单,short,"交易明细, 流程",0.97
1446,代扣设置的具体流程是什么,交易服务,代扣代缴,代扣设置,短文本,简单,short,"代扣设置, 流程",0.94
1721,我想了解对账单的相关信息,交易服务,交易查询,对账单,短文本,简单,short,对账单,0.99
1081,我想了解电子回单的相关信息,交易服务,交易查询,电子回单,短文本,简单,short,电子回单,0.98
1190,结构性存款的具体流程是什么,投资理财,理财产品,结构性存款,短文本,简单,short,"结构性存款, 存款, 流程",0.92
1760,股票查询需要什么条件,投资理财,股票投资,股票查询,短文本,简单,short,"股票查询, 股票, 查询, 条件",0.86
1695,我对稳健型产品很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,产品咨询,产品推荐,稳健型产品,中等文本,中等,medium,"稳健型产品, 办理, 流程",0.88
1732,请问服务费怎么操作,产品咨询,费用说明,服务费,短文本,简单,short,服务费,0.85
1142,信用卡激活期限是多久,信贷服务,信用卡服务,信用卡激活,短文本,简单,short,"信用卡激活, 信用卡",0.92
1179,我想了解流动资金贷款的相关信息,信贷服务,企业贷款,流动资金贷款,短文本,简单,short,"流动资金贷款, 贷款",0.85
1535,我对赎回费很感兴趣，请问能介绍一下吗？我想知道相关的具体要求和办理流程,产品咨询,费用说明,赎回费,中等文本,简单,medium,"赎回费, 办理, 流程",0.81
1499,跨境汇款需要什么条件,交易服务,转账汇款,跨境汇款,短文本,简单,short,"跨境汇款, 条件",0.89
